Player,Squad,Rating,user,player,rating,Nation
Matthew Hoppe,Mallorca,1.6914893617021276,5,1390,1.6914893,us
Galeno,Porto,3.12542372881356,24,2464,3.1254237000000002,br
Galeno,Porto,3.12542372881356,24,2464,3.1254237000000002,br
Yangel Herrera,Granada,2.78125,18,752,2.78125,ve
Armand Lauriente,Sassuolo,2.813008130081301,78,1298,2.813008,fr
Harry Kane,Leicester City,2.4166666666666665,107,2194,2.4166667,en
Rui Fonte,Espanyol,2.0427350427350426,2,2551,2.042735,pt
Rui Fonte,Espanyol,2.0427350427350426,2,2551,2.042735,pt
Albert Sambi Lokonga,Arsenal,3.05761316872428,56,95,3.0576131,be
Joachim Andersen,Sampdoria,2.7821229050279332,84,627,2.7821229,dk
André Franco,Porto,3.077966101694915,24,2662,3.0779662,pt
Marcelo,Real Madrid,1.15,11,390,1.15,br
Marcelo,Real Madrid,1.15,11,390,1.15,br
Marcelo,Real Madrid,1.15,11,390,1.15,br
Marcelo,Real Madrid,1.15,11,390,1.15,br
Emerson Palmieri,Chelsea,1.2282282282282282,19,595,1.2282282,it
Emerson Palmieri,Chelsea,1.2282282282282282,19,595,1.2282282,it
Donny van de Beek,Manchester Utd,2.6465863453815257,25,775,2.6465864,nl
Donny van de Beek,Manchester Utd,2.6465863453815257,25,775,2.6465864,nl
Nélson Semedo,Benfica,2.5481727574750828,65,2443,2.5481727000000003,pt
Rolando Mandragora,Juventus,2.9919028340080973,79,2175,2.9919027999999996,it
Chris Wood,Leicester City,1.7541666666666669,107,497,1.7541667,nz
Chris Wood,Leicester City,1.7541666666666669,107,497,1.7541667,nz
Hatem Ben Arfa,Lyon,2.96319018404908,59,1245,2.96319,fr
Álvaro Odriozola,Real Sociedad,2.6743295019157087,28,815,2.6743295,es
Nico Schulz,Hertha BSC,2.786802030456853,89,668,2.7868020000000002,de
Bruno Guimarães,Newcastle Utd,3.2538071065989844,14,1322,3.253807,br
Bruno Guimarães,Newcastle Utd,3.2538071065989844,14,1322,3.253807,br
Matheus Cunha,Hertha BSC,2.3096446700507616,89,182,2.3096447,br
Matheus Cunha,Hertha BSC,2.3096446700507616,89,182,2.3096447,br
Brian Oliván,Espanyol,2.4615384615384617,2,1397,2.4615386000000004,es
Kiko Femenía,Alavés,2.645833333333333,0,2365,2.6458333,es
Nolito,Sevilla,2.53125,85,572,2.53125,es
Davide Zappacosta,Atalanta,3.078740157480315,50,155,3.0787401,it
Jordan Veretout,Fiorentina,3.4823529411764707,53,1924,3.482353,fr
Calum Chambers,Southampton,2.3842105263157896,33,81,2.3842106,en
Calum Chambers,Southampton,2.3842105263157896,33,81,2.3842106,en
Jean-Clair Todibo,Barcelona,2.8626760563380285,70,1663,2.8626761000000003,fr
Dodi Lukebakio,Watford,2.1135135135135137,75,995,2.1135135,be
Dodi Lukebakio,Watford,2.1135135135135137,75,995,2.1135135,be
Tyrick Mitchell,Crystal Palace,2.8277310924369754,98,640,2.8277311000000003,en
Robert Andrich,Leverkusen,2.786259541984733,47,1222,2.7862597,de
Nuno Mendes,Paris S-G,2.9649122807017543,72,1732,2.9649122,pt
Nuno Mendes,Paris S-G,2.9649122807017543,72,1732,2.9649122,pt
Jorge Sáenz,Marítimo,2.1822660098522166,103,2700,2.182266,es
Quentin Merlin,Nantes,3.125,20,1596,3.125,fr
Adam Obert,Cagliari,2.272251308900524,81,547,2.2722514,sk
Jérémy Pied,Metz,2.2447916666666665,45,1256,2.2447917,fr
Xavier Chavalerin,Troyes,2.2111801242236027,35,1859,2.2111802000000003,fr
Xavier Chavalerin,Troyes,2.2111801242236027,35,1859,2.2111802000000003,fr
Emi Buendía,Norwich City,3.010869565217391,68,105,3.0108695,ar
Zaydou Youssouf,Famalicão,2.7857142857142856,1,1962,2.7857144,fr
Gaius Makouta,Boavista,2.6486486486486487,102,2732,2.6486487000000003,cg
Ismail Jakobs,Köln,3.3198653198653196,93,1542,3.3198652,sn
Allan,Everton,2.8220858895705523,73,773,2.8220859000000003,br
Cristo,Real Sociedad,2.2796934865900385,28,1823,2.2796936000000003,es
Oussama Idrissi,Cádiz,2.6423841059602653,26,515,2.642384,ma
Oussama Idrissi,Cádiz,2.6423841059602653,26,515,2.642384,ma
Dominique Heintz,Bochum,1.566137566137566,54,826,1.5661376,de
Dominique Heintz,Bochum,1.566137566137566,54,826,1.5661376,de
Reinildo Mandava,Atlético Madrid,2.8798283261802573,21,194,2.8798282000000004,mz
Reinildo Mandava,Atlético Madrid,2.8798283261802573,21,194,2.8798282000000004,mz
Víctor Chust,Real Madrid,2.0125,11,508,2.0125,es
Heriberto Tavares,Brest,2.549107142857143,16,2642,2.549107,pt
Thierry Correia,Valencia,2.605,9,2284,2.605,pt
Marcus Ingvartsen,Union Berlin,1.6851851851851851,100,1364,1.6851851999999998,dk
Marcus Ingvartsen,Union Berlin,1.6851851851851851,100,1364,1.6851851999999998,dk
Stefano Sensi,Sampdoria,3.1061452513966477,84,1047,3.1061451,it
Stefano Sensi,Sampdoria,3.1061452513966477,84,1047,3.1061451,it
Adel Taarabt,Benfica,3.611295681063123,65,2507,3.6112957000000003,ma
Ben White,Arsenal,2.6419753086419755,56,101,2.6419754,en
Giannelli Imbula,Marseille,2.919354838709677,58,2780,2.919355,cd
Reinildo Mandava,B-SAD,3.0461538461538464,90,194,3.0461537999999995,mz
Reinildo Mandava,B-SAD,3.0461538461538464,90,194,3.0461537999999995,mz
Thuler,Montpellier,1.9140625,43,1577,1.9140625,br
Thomas Delaney,Sevilla,1.73828125,85,653,1.7382811999999999,dk
Thomas Delaney,Sevilla,1.73828125,85,653,1.7382811999999999,dk
Pablo Sarabia,Paris S-G,3.0,72,1740,3.0,es
Pablo Sarabia,Paris S-G,3.0,72,1740,3.0,es
Niklas Dorsch,Augsburg,2.8429319371727746,91,207,2.842932,de
