,Player,Squad,Rating,user,player,rating
5139,Lucas Perrin,Marseille,2.600806451612903,58,2131,2.6008065
6443,Nicolas Janvier,Vitória,3.253393665158371,105,2593,3.2533937
2736,Lewis Bate,Leeds United,2.029268292682927,61,1124,2.0292683
726,Joaquín,Fiorentina,2.9725490196078432,53,298,2.972549
53,Tomás Pina Isla,Alavés,2.0069444444444446,0,21,2.0069444
1796,Dominic Calvert-Lewin,Everton,2.1533742331288344,73,777,2.1533742
3845,Nicolas Pallois,Nantes,2.2962962962962963,20,1598,2.2962964
2553,Federico Bernardeschi,Fiorentina,2.7098039215686276,53,1055,2.7098038
2800,Kelechi Iheanacho,Manchester City,2.665594855305466,4,1155,2.6655948
936,Junior Mwanga,Bordeaux,2.282700421940928,94,393,2.2827005
5647,Manu Vallejo,Valencia,2.655,9,29,2.655
824,Lorenzo De Silvestri,Bologna,2.561946902654867,66,344,2.5619469
4321,Sidney Raebiger,Greuther Fürth,1.21301775147929,110,1790,1.2130177
3401,Gabriel Jesus,Manchester City,3.2861736334405145,4,1418,3.2861736
1389,N'Golo Kanté,Leicester City,3.7,107,590,3.7
3564,Cengiz Ünder,Leicester City,2.6416666666666666,107,1472,2.6416667
884,Jimmy Briand,Bordeaux,2.780590717299578,94,374,2.7805908
4867,Ronaldo Vieira,Hellas Verona,1.1296296296296295,80,2016,1.1296296
1868,Andros Townsend,Leeds United,2.7560975609756095,61,801,2.7560976
5181,Omar Marmoush,Stuttgart,3.1710526315789473,49,2153,3.1710527
10,Manu García,Alavés,3.1875,0,4,3.1875
3415,Bernardo Silva,Benfica,3.5847176079734218,65,1425,3.5847175
1463,Saîf-Eddine Khaoui,Clermont Foot,2.6180904522613067,38,615,2.6180904
806,Kostas Stafylidis,Augsburg,3.020942408376963,91,335,3.0209424
5583,Hugo Duro,Getafe,2.3128491620111733,8,886,2.312849
5384,Abdu Conté,Troyes,2.130434782608696,35,2211,2.1304348
4068,Billy Gilmour,Brighton,3.0228310502283104,67,1669,3.022831
2108,Hugo Duro,Valencia,1.43,9,886,1.43
6089,Galeno,Portimonense,3.115606936416185,112,2464,3.115607
6788,Fahd Moufi,Tondela,2.466666666666667,104,2757,2.4666667
2234,Raúl Torrente,Granada,2.29375,18,931,2.29375
963,Mads Bech Sørensen,Nice,2.0538461538461537,29,407,2.0538461
4494,Nathanael Mbuku,Reims,2.3926940639269407,34,1879,2.392694
2632,Sebastian Andersson,Köln,2.01010101010101,93,1080,2.010101
704,Víctor Camarasa,Betis,2.0391304347826087,96,289,2.0391304
431,Ángel Correa,Atlético Madrid,2.866952789699571,21,181,2.866953
4388,Sergio Santos,Real Madrid,2.640625,11,1817,2.640625
145,Edimilson Fernandes,Fiorentina,2.380392156862745,53,63,2.380392
2033,Caleb Ekuban,Leeds United,2.1902439024390246,61,855,2.190244
5744,Francis Coquelin,Villarreal,2.965250965250965,15,2340,2.965251
1165,Iván Alejo,Cádiz,2.6556291390728477,26,500,2.6556292
3500,Raphaël Varane,Lens,2.526086956521739,37,1451,2.526087
2050,Yayah Kallon,Hellas Verona,2.4166666666666665,80,865,2.4166667
3760,Andy Delort,Montpellier,2.3359375,43,1559,2.3359375
2624,Daniele Rugani,Juventus,2.2672064777327936,79,1076,2.2672064
4484,Philippe Koffi,Reims,2.146118721461187,34,1873,2.1461186
4435,David Silva,Valencia,3.02,9,1842,3.02
5453,Gerard Deulofeu,Udinese,3.3333333333333335,40,2241,3.3333333
5306,Bryan,Valencia,2.685,9,2188,2.685
4361,Mario Gila,Lazio,2.6113074204946995,3,1804,2.6113074
2424,Sargis Adamyan,Köln,2.468013468013468,93,1010,2.4680135
1262,Diego Farias,Cagliari,2.18848167539267,81,538,2.1884816
1771,Álvaro Vadillo,Betis,2.6043478260869564,96,768,2.604348
3511,Jordan Amavi,Getafe,2.4022346368715084,8,1453,2.4022346
271,Lucas Digne,Everton,2.723926380368098,73,109,2.7239263
4792,Julian Chabot,Köln,2.4242424242424243,93,1081,2.4242425
6817,Beto,Portimonense,2.277456647398844,112,2239,2.2774568
244,Calum Chambers,Arsenal,2.4362139917695473,56,81,2.436214
6641,Racine Coly,Famalicão,2.076923076923077,1,2677,2.0769231
4572,Bryan Cristante,Milan,3.079245283018868,95,1907,3.0792453
2032,Mattia Destro,Empoli,2.0676328502415457,101,854,2.067633
6306,Mario González,Tondela,2.1155555555555554,104,2539,2.1155555
5411,Derek Mazou-Sacko,Troyes,1.2732919254658386,35,2223,1.273292
813,Musa Barrow,Atalanta,3.0118110236220472,50,341,3.011811
3810,Jean-Kévin Augustin,Paris S-G,1.7157894736842105,72,1580,1.7157894
5559,Bryan,Sevilla,3.03515625,85,2188,3.0351562
1804,Lucas Digne,Lille,2.71656050955414,32,109,2.7165606
5815,Samuel Kalu,Bordeaux,2.1940928270042193,94,381,2.1940928
4346,Blanco,Real Madrid,2.825,11,1799,2.825
2461,Kevin Vogt,Bochum,2.0793650793650795,54,1033,2.079365
545,Jordi Alba,Valencia,3.125,9,230,3.125
3241,Marvin Friedrich,M'Gladbach,2.5390334572490705,111,1341,2.5390334
738,Martín Montoya,Betis,2.773913043478261,96,303,2.7739131
310,Trézéguet,Aston Villa,2.6102564102564103,57,125,2.6102564
3521,Darío Benedetto,Elche,1.485,99,694,1.485
1131,Kevin Long,Burnley,1.6686746987951808,6,485,1.6686747
6741,Philippe Koffi,Reims,1.634703196347032,34,1873,1.6347032
