Player,Nation,UrlFBref,TmPos,clubes
Mattia Aramu,it,https://fbref.com/en/players/0847b5a5/Mattia-Aramu,Attacking Midfield,['Trapani' 'Livorno' 'Pro Vercelli' 'Torino' 'Virtus Entella' 'Venezia']
Charles Aránguiz,cl,https://fbref.com/en/players/56413b1f/Charles-Aranguiz,Central Midfield,['Internacional' 'Leverkusen']
Néstor Araujo,mx,https://fbref.com/en/players/27a013f7/Nestor-Araujo,Centre-Back,['Cruz Azul' 'Santos' 'Celta Vigo' 'América']
Ronald Araújo,uy,https://fbref.com/en/players/2bef2bca/Ronald-Araujo,Centre-Back,['Barcelona' 'Boston River']
Cameron Archer,en,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,Centre-Forward,['Aston Villa' 'Solihull Moors' 'Preston']
Jesús Areso,es,https://fbref.com/en/players/94e01ec6/Jesus-Areso,Right-Back,['Osasuna']
Matias Arezo,uy,https://fbref.com/en/players/484ebdb0/Matias-Arezo,Centre-Forward,['River Plate' 'Granada']
Santiago Arias,co,https://fbref.com/en/players/fdd60087/Santiago-Arias,Right-Back,"['Sporting CP' 'Jong PSV' 'PSV Eindhoven' 'Atlético Madrid' 'Leverkusen'
 'Granada']"
Adam Armstrong,en,https://fbref.com/en/players/68c720b5/Adam-Armstrong,Centre-Forward,"['Newcastle Utd' 'Coventry City' 'Barnsley' 'Bolton' 'Blackburn'
 'Southampton']"
Stuart Armstrong,sc,https://fbref.com/en/players/97333cf5/Stuart-Armstrong,Central Midfield,['Dundee United' 'Celtic' 'Southampton']
Marko Arnautović,at,https://fbref.com/en/players/00459419/Marko-Arnautovic,Centre-Forward,"['Twente' 'Inter' 'Werder Bremen' 'Stoke City' 'West Ham' 'Shanghai SIPG'
 'Bologna']"
Maximilian Arnold,de,https://fbref.com/en/players/86e119e0/Maximilian-Arnold,Central Midfield,['Wolfsburg']
Tolgay Arslan,de,https://fbref.com/en/players/963a328b/Tolgay-Arslan,Central Midfield,['Hamburger SV' 'AA Aachen' 'Beşiktaş' 'Fenerbahçe' 'Udinese']
Arthur,br,https://fbref.com/en/players/a820e429/Arthur,Centre-Forward,['Ceará' 'Palmeiras' 'Basel' 'Fiorentina']
Santiago Arzamendia,py,https://fbref.com/en/players/759d8dd7/Santiago-Arzamendia,Left-Back,['Cerro Porteño' 'Cádiz']
Takuma Asano,jp,https://fbref.com/en/players/13ddc856/Takuma-Asano,Right Winger,['Sanfrecce' 'Stuttgart' 'Hannover 96' 'Partizan' 'Bochum']
Santiago Ascacíbar,ar,https://fbref.com/en/players/e26fcca3/Santiago-Ascacibar,Defensive Midfield,['Estudiantes' 'Stuttgart' 'Hertha BSC']
Alejandro Asensio,es,,,['Rayo Vallecano']
Marco Asensio,es,https://fbref.com/en/players/45af8a54/Marco-Asensio,Right Winger,['Mallorca' 'Espanyol' 'Real Madrid']
Harrison Ashby,sc,https://fbref.com/en/players/b391383a/Harrison-Ashby,Right-Back,['West Ham']
Kristoffer Askildsen,no,https://fbref.com/en/players/a69cc629/Kristoffer-Askildsen,Central Midfield,['Stabæk' 'Sampdoria']
Fisnik Asllani,xk,https://fbref.com/en/players/35f67a30/Fisnik-Asllani,Centre-Forward,['Union U17' 'Union U19' 'Hoffenheim']
Kristjan Asllani,al,https://fbref.com/en/players/0fdcef0e/Kristjan-Asllani,Defensive Midfield,['Empoli']
Iago Aspas,es,https://fbref.com/en/players/7dcf86f6/Iago-Aspas,Centre-Forward,['Celta Vigo' 'Liverpool' 'Sevilla']
Lorenz Assignon,tg,https://fbref.com/en/players/b026bbf6/Lorenz-Assignon,Right-Back,['Rennes']
Simon Asta,de,https://fbref.com/en/players/dfc85b89/Simon-Asta,Right-Back,['Augsburg U17' 'Augsburg' 'Augsburg U19' 'Greuther Fürth']
Youcef Atal,dz,https://fbref.com/en/players/6a827d8e/Youcef-Atal,Right-Back,['Kortrijk' 'Nice']
Pierre-Emerick Aubameyang,ga,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang,Centre-Forward,['Lille' 'Monaco' 'Saint-Étienne' 'Dortmund' 'Arsenal' 'Barcelona']
Pierre-Emerick Aubameyang,ga,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang,Centre-Forward,['Lille' 'Monaco' 'Saint-Étienne' 'Dortmund' 'Arsenal' 'Barcelona']
Tommaso Augello,it,https://fbref.com/en/players/3cd3b384/Tommaso-Augello,Left-Back,['Spezia' 'Sampdoria']
Jean-Kévin Augustin,fr,https://fbref.com/en/players/97bfa797/Jean-Kevin-Augustin,Centre-Forward,['Paris S-G' 'RB Leipzig' 'Leeds United' 'Monaco' 'Nantes']
Ludwig Augustinsson,se,https://fbref.com/en/players/9fec8860/Ludwig-Augustinsson,Left-Back,['Brommapojkarna' 'Göteborg' 'FC Copenhagen' 'Werder Bremen' 'Sevilla']
Serge Aurier,ci,https://fbref.com/en/players/5c2b4f07/Serge-Aurier,Right-Back,['Lens' 'Toulouse' 'Paris S-G' 'Tottenham' 'Villarreal']
Ezequiel Ávila,ar,https://fbref.com/en/players/253a06b9/Ezequiel-Avila,Centre-Forward,['Huesca' 'Osasuna' 'San Lorenzo']
Taiwo Awoniyi,ng,https://fbref.com/en/players/e5478b87/Taiwo-Awoniyi,Centre-Forward,"['FSV Frankfurt' 'NEC Nijmegen' 'Excel Mouscron' 'Gent' 'Mainz 05'
 'Union Berlin']"
Ramzi Aya,it,https://fbref.com/en/players/6a1f66a7/Ramzi-Aya,Centre-Back,['Pisa' 'Salernitana' 'US Reggina']
Jordan Ayew,gh,https://fbref.com/en/players/da052c14/Jordan-Ayew,Centre-Forward,"['Marseille' 'Sochaux' 'Lorient' 'Aston Villa' 'Swansea City'
 'Crystal Palace']"
Kaan Ayhan,tr,https://fbref.com/en/players/2200181e/Kaan-Ayhan,Centre-Back,['Schalke 04' 'Eint Frankfurt' 'Düsseldorf' 'Sassuolo']
Luke Ayling,en,https://fbref.com/en/players/420d7c7d/Luke-Ayling,Right-Back,['Bristol City' 'Leeds United' 'Leeds Utd U23' 'Yeovil Town']
Karim Azamoum,fr,https://fbref.com/en/players/eaf71a5e/Karim-Azamoum,Central Midfield,['Troyes' 'Elche' 'Cádiz' 'Albacete']
Sardar Azmoun,ir,https://fbref.com/en/players/10549b49/Sardar-Azmoun,Centre-Forward,['Rubin Kazan' 'Rostov' 'Zenit' 'Leverkusen']
César Azpilicueta,es,https://fbref.com/en/players/53cad200/Cesar-Azpilicueta,Right-Back,['Chelsea' 'Marseille' 'Osasuna']
Iddrisu Baba,gh,https://fbref.com/en/players/bfd381b3/Iddrisu-Baba,Central Midfield,['Mallorca']
Carlos Bacca,co,https://fbref.com/en/players/09a9e921/Carlos-Bacca,Centre-Forward,['Club Brugge' 'Sevilla' 'Milan' 'Villarreal' 'Granada']
Loïc Bade,fr,https://fbref.com/en/players/114bbdee/Loic-Bade,Centre-Back,['Le Havre' 'Lens' 'Rennes']
Milan Badelj,hr,https://fbref.com/en/players/e8c930bb/Milan-Badelj,Defensive Midfield,['Dinamo Zagreb' 'Hamburger SV' 'Fiorentina' 'Lazio' 'Genoa']
Benoît Badiashile,fr,https://fbref.com/en/players/06df8256/Benoit-Badiashile,Centre-Back,['Monaco']
